name,description,datePublished,url
港股盘中跌185点後18000争持 阿里巴巴跌2%,ATMJ个别走，阿里巴巴(09988)暂跌2.483%，报72.65... 汇港通讯> 港股今早再失18000点，盘中见17927.16点，跌185.47後，在18000点大关好淡争持，暂报17987点，跌124点。 ATMJ个别走，阿里巴巴(09988)暂跌2.483% ...,2024-06-16T14:46:00.0000000Z,http://www.aastocks.com/sc/usq/quote/stock-news-content.aspx?symbol=BABA&id=IC4293045&source=INFOCAST
传新电信将在柔佛建数据中心,目前，柔佛已建成的数据中心容量估计达170兆瓦。同时，依斯干达布蒂里、士年纳（Sedenak）和古来（Kulai）三个地区也在扩建900兆瓦以上的设施。这些设施将主要提供给单租户。字节跳动（ByteDance）是柔佛最大的数据中心供应商，微软和阿里云（Alibaba Cloud）也在这一带布局。,2024-06-13T15:08:00.0000000Z,https://www.zaobao.com.sg/finance/singapore/story20240613-3921181
阿里巴巴新电商策略初见成效，但竞争愈发残酷,阿里巴巴曾站在蓬勃发展的中国电子商务市场的塔尖，2014年上市时市场份额达到惊人的83%。但这种优势地位已被明显削弱，主要原因是竞争加剧，而该公司在提升技术和定价策略方面进取不足也是一个原因。,2024-06-11T18:05:00.0000000Z,https://cn.wsj.com/articles/%E9%98%BF%E9%87%8C%E5%B7%B4%E5%B7%B4%E6%96%B0%E7%94%B5%E5%95%86%E7%AD%96%E7%95%A5%E5%88%9D%E8%A7%81%E6%88%90%E6%95%88-%E4%BD%86%E7%AB%9E%E4%BA%89%E6%84%88%E5%8F%91%E6%AE%8B%E9%85%B7-3cd1190c
港股下试18000点曾跌270点 友邦保险挫4%,美国减息预期降温，港股初段再挫，恒指低开203.83点後，曾跌至18000点水平，低见18096.79点，跌270.16点。科指暂最新造3729点 ...,2024-06-11T01:41:00.0000000Z,http://www.aastocks.com/sc/usq/quote/stock-news-content.aspx?symbol=BABA&id=IC4290607&source=INFOCAST
阿里巴巴（BABA.US）6月10日收盘报79.3美元/股，涨1.14%,截至2024年6月10日（美国东部时间）收盘，阿里巴巴 (BABA.US)报收于79.3美元/股，上涨1.14%，成交量947.15万股。 机构评级方面，共有59家机构参与评级，给予买入建议的机构占多数，预测目标价均值为105.39美元/股，最高预测目标价为135.06美元/股，最低预测目标价为75.74美元/股。,2024-06-10T22:01:00.0000000Z,https://stock.stockstar.com/RB2024061100001217.shtml
苹果公司踏上历史新高门槛 “AI=苹果智能”的说辞能否成立？| 今夜看点,周一盘前，受到大西洋另一边资本市场震荡的影响，美股期指在开盘前集体处于弱势震荡的状态。同时因为前一交易日（上周五）非农数据比市场预期高出50%的震撼，目前处于高位的市场也在等待下一个拉动市场的契机。 截至发稿，纳斯达克100指数期货（2406合约）跌0.15%，标普500指数期货跌0.14%，道琼斯指数期货跌0.13%。按照惯例，考虑到本周三是“CPI数据和美联储决议”不太常见的撞车时间，美股市场,2024-06-10T13:05:00.0000000Z,http://fund.eastmoney.com/a/202406103100048433.html
新加坡邮政(SingPost)的股票,阿里巴巴集团从2014年开始投资于新邮政，当时集团以每股1.42新元的价格收购10.4%的股权，总额达 3亿1250万新元。持有2亿2010万股。 在2016年，新交所批准阿里巴巴增加持股，集团在隔年以每股1.74元的价格买入1亿零760万新元的新邮政股。持有的新邮政股票增加到3亿2760万股。 星期五（6月7日）阿里巴巴集团的子公司阿里巴巴投资（Alibaba Investment）脱售7250,2024-06-08T12:07:00.0000000Z,https://guba.sina.com.cn/?s=thread&tid=46333&bid=13015
蔚来CEO李斌：内卷时代，中国汽车产业一荣俱荣,【ITBEAR科技资讯】6月8日消息，今日，在2024中国汽车重庆论坛上，蔚来汽车CEO李斌就当前中国车市的“内卷”现象及电动汽车电池寿命问题发表了深入见解。 李斌首先指出，汽车行业的“内卷”是市场竞争的必然产物，但他同时强调，在这种竞争环境中，车企之间的合作同样重要。他特别提到， 在涉及基础设施、长寿命电池以及海外市场拓展等方面，车企间的协作显得尤为重要 。李斌的这番言论体现了其对行业发展的深刻理解和前瞻性思维。,2024-06-08T07:12:00.0000000Z,http://www.itbear.com.cn/html/2024-06/487952.html
阿里巴巴脱售7250万新邮政股票,新邮政于星期五（6月7日）在新加坡交易所网站公布这项消息。阿里巴巴集团的子公司阿里巴巴投资（Alibaba Investment）脱售7250万股新邮政的股票后，持股从原本的3亿2765万股减少到2亿5515万股，总投票股比率从14.56%下跌至11.34%。,2024-06-07T13:07:00.0000000Z,https://www.zaobao.com.sg/realtime/singapore/story20240607-3855217
多发货跨境物流|阿里巴巴在海外推出“交易担保”服务,6月7日消息，阿里巴巴B2B平台 Alibaba.com 周四宣布向中国以外的公司推出“阿里巴巴担保(Alibaba Guaranteed)”服务，为交付、支付和争议解决提供更大的确定性，具体保障内容包括： 交货日期追踪 ...,2024-06-07T12:21:00.0000000Z,https://www.sohu.com/a/784349755_121823407
阿里国际站推出交易担保服务，支持交货日期追踪,据阿里巴巴国际站方面透露，目前在中国境内的用户已可享受物流送货实时追踪和退换货三包政策等服务，但从跨境电商平台购物的用户并没有享受到相关政策。其推出“交易担保”服务就是为了解决这一问题，为用户提供交货日期追踪和免费的本地退货保障等服务。,2024-06-07T10:43:00.0000000Z,https://new.qq.com/rain/a/20240607A096TX00
当一场国际顶级论坛，开始聊B2B外贸……,在6月6日的格林威治-香港论坛（GEF-Hong Kong）上，B2B贸易，这个通常并不为普通人熟知的领域成了这场国际顶级投资论坛的主题之一。人们发现，B2B贸易完美地结合了时下最热的两大赛道：AI、出海。,2024-06-07T04:03:00.0000000Z,https://finance.sina.com.cn/tech/roll/2024-06-07/doc-inaxwszx3394525.shtml
助力全球小企业，阿里巴巴海外推出全新“交易担保”,【ITBEAR科技资讯】6月7日消息，阿里巴巴的B2B平台Alibaba.com近日宣布，将面向全球非中国公司推出全新的“阿里巴巴担保 (Alibaba Guaranteed)”服务，旨在为国际交易中的交付、支付及争议解决提供更为可靠的保障。,2024-06-07T03:32:00.0000000Z,https://www.sohu.com/a/784341127_362225
瞄准全球小企业，阿里巴巴在海外推出“交易担保”服务,‎ Alibaba.com 与国内 1688.com 的定位一致，是一个主打企业对企业销售的平台， 是中国供应商向海外小型企业进行产品销售的一大渠道 ，可以通过速卖通等网站直接向海外消费者销售产品，平台同时支持购买单一产品或批量购买。,2024-06-07T03:07:00.0000000Z,https://www.ithome.com/0/773/751.htm
直击格林威治论坛丨阿里国际站张阔：能用AI解决实际问题的公司很稀缺,在这场论坛上，阿里国际站总裁张阔对全球B2B贸易、AI在外贸中的应用、供应链都做了深度解读。他提到，当前B2B外贸是绝对的出海主力赛道。当前全球贸易中绝大部分的出口额都是以B2B形式进行的。作为该领域最大的数字化平台，阿里国际站全年的GMV达到了500亿美元、服务的中小企业整体出口规模更达4000亿美元。,2024-06-07T01:05:00.0000000Z,https://finance.sina.com.cn/wm/2024-06-07/doc-inaxwhnh4333016.shtml
阿里巴巴海外交易新举措：“阿里巴巴担保”服务上线,【ITBEAR科技资讯】6月7日消息，Alibaba.com，阿里巴巴旗下的B2B平台，近日宣布推出“阿里巴巴担保(Alibaba Guaranteed)”服务，旨在为中国以外的公司提供更大的交易确定性，涵盖交付、支付及争议解决等多个环节。 Alibaba.com，与国内的1688.com相似，都专注于企业对企业的销售模式，并且已成为中国供应商向海外小型企业销售产品的重要桥梁。通过这个平台，中国供,2024-06-07T03:26:52.0000000Z,https://www.msn.cn/zh-cn/news/other/%E9%98%BF%E9%87%8C%E5%B7%B4%E5%B7%B4%E6%B5%B7%E5%A4%96%E4%BA%A4%E6%98%93%E6%96%B0%E4%B8%BE%E6%8E%AA-%E9%98%BF%E9%87%8C%E5%B7%B4%E5%B7%B4%E6%8B%85%E4%BF%9D-%E6%9C%8D%E5%8A%A1%E4%B8%8A%E7%BA%BF/ar-BB1nMDIg
自研为主：Siri联合创始人视苹果与OpenAI合作为过渡性安排,【ITBEAR科技资讯】6月6日消息，近日有报道指出，苹果公司正与人工智能领域的佼佼者OpenAI展开合作，意在将先进的生成式人工智能功能融入其广受欢迎的语音助手Siri中。然而，Siri的联合创始人Dag Kittlaus对此次合作表达了自己的看法，他认为这可能只是苹果公司的权宜之计，同时透露苹果正在积极研发并优化自家的聊天机器人技术。,2024-06-06T02:49:00.0000000Z,http://www.itbear.com.cn/html/2024-06/487852.html
